"","Place","UF_cases_low","UF_cases_mean","UF_cases_high","UF_deaths_low","UF_deaths_mean","UF_deaths_high","ifr1_low","ifr1_mean","ifr1_high","ifr2_low","ifr2_mean","ifr2_high","cfr_low","cfr_mean","cfr_high"
"AN","Andaman and Nicobar","4.49368686868687","8.89150262626263","15.3064646464646","1.5","2.69127777777778","4.28787878787879","0.00174218337876324","0.00334070715605475","0.00593425357128209","0.00652968113727319","0.00828067096648921","0.0104553487462054",0.0203194454589661,0.0266666666666667,0.0330138878743672
"AP","Andhra Pradesh","22.4342221275165","24.3013432605238","25.8576676058775","5.09282200357782","5.44249988073942","5.73453041144902","0.00021501078920055","0.000229176953363989","0.000247821274497123","0.00122398386108045","0.00124555897241064","0.00127190859611732",0.00541497313263769,0.00556031816436901,0.00570566319610034
"AR","Arunachal Pradesh","4.23402099167571","8.71898996949485","13.7327826896231","1.333125","2.56765277777778","3.93333333333333","0.000451797453540686","0.000778380173447826","0.00146537687633579","0.00155380489326485","0.00184459311323426","0.00219037730900633",0.00509777086247693,0.00620443617186288,0.00731110148124883
"AS","Assam","30.8017530671873","35.4295776210123","39.3284655730122","6.57897824842587","7.43109311200153","8.13941041785919","0.000302183011508456","0.000337207633489763","0.000385834992942899","0.00244306919849421","0.0024945070698198","0.0025573380294489",0.0114955119268281,0.0118872699073507,0.0122790278878734
"BR","Bihar","18.4231301497701","21.6434929949036","24.2653465587992","4.36481332674002","4.95009758107718","5.42900234886883","0.000722633835894611","0.000815935088348514","0.000951790510724021","0.00390952300475293","0.00401651083531741","0.00417260107865219",0.0171576930167024,0.0175364448548058,0.0179151966929092
"CH","Chandigarh","12.0987803830101","14.2823769048204","16.0379038792045","3.23206751054852","3.68449507735584","4.09282700421941","0.000725631830933719","0.00082177309282905","0.000961883197272569","0.00281712051240907","0.00300998193690478","0.00323556139537548",0.0105877192361897,0.0116284775035572,0.0126692357709248
"CT","Chhattisgarh","16.3304363676199","18.0501623449956","19.7556746870652","4.07957439162132","4.39595981791423","4.70315484135948","0.000715280857144641","0.000785142076007707","0.000865307917027984","0.003354990018785","0.00344406649081597","0.00354461491678275",0.0138529055238898,0.0141315083035664,0.014410111083243
"DN","Dadra and Nagar Haveli","12.7239995742869","18.7723435031455","22.5246487867178","1.5","4.48683333333333","8","1.25999173453223e-05","1.54493691629584e-05","2.230499275365e-05","2.76088791576196e-05","6.81502642896649e-05","0.000118017115040102",-0.000109474274944052,0.000283808712927487,0.000677091700799026
"DL","Delhi","17.9228769848222","17.9565814644801","17.9936031719612","4.35412212389381","4.38974610029499","4.42513628318584","0.000982400903339851","0.000984427307998839","0.000986277595133123","0.00428702046519964","0.00432138336654455","0.00435613322952572",0.0173890905249188,0.0176780094721498,0.0179669284193807
"GA","Goa","11.6440309032093","11.8402364662571","12.0176463847829","3.1448407504363","3.22923662012798","3.31544502617801","0.00168107412715433","0.00170644207007374","0.00173501380876456","0.00538042189976541","0.00551010781709318","0.00563508451961114",0.0193736069634606,0.0201918756772471,0.0210101443910337
