"Place","Observed_Cases","Predicted_Reported_Cases","Predicted_Total_Cases","Observed.Deaths","Predicted_Reported_Deaths","Predicted_Total.Deaths","Cases_per_million","Deaths_per_million"
"Andaman and Nicobar",2475,2538,22006,66,63,178,6503.21,173.42
"Andhra Pradesh",1005454,1052130,24433883,5590,5404,30424,20280.61,112.75
"Arunachal Pradesh",19341,21105,168634,120,115,308,13977.47,86.72
"Assam",293999,320108,10416260,3494,3439,25964,9421.36,111.97
"Bihar",461307,459699,9984295,8089,7695,40041,4431.41,77.7
"Chandigarh",40730,41573,581721,474,468,1746,38590.17,449.1
"Chhattisgarh",689201,703661,12440190,9739,9717,42812,26979.67,381.25
"Dadra and Nagar Haveli",7047,7415,132289,2,2,9,12030.44,3.41
"Delhi",799064,806934,14348458,14125,14016,62005,47597.5,841.38
"Goa",113451,116695,1343287,2292,2244,7401,77783.68,1571.43
"Gujarat",561769,593952,9133281,5674,5834,23185,9294.7,93.88
"Haryana",500735,522462,10517838,6424,6479,31671,19751.72,253.4
"Jammu and Kashmir",191410,197500,7943113,2391,2315,20502,15603.61,194.91
"Jharkhand",226971,236331,4274772,4040,4079,18394,6880.38,122.47
"Karnataka",1907238,1962929,37788085,22914,22533,107790,31217.43,375.05
"Kerala",2004396,2083298,23997385,9599,9266,30606,60000.97,287.34
"Ladakh",10366,10916,117421,72,72,224,37832.12,262.77
"Madhya Pradesh",534581,549186,8512735,5169,5160,20615,7360.66,71.17
"Maharashtra",4042252,4073053,59223522,71088,70007,268306,35971.31,632.6
"Manipur",41220,46295,481010,791,772,2480,16036.48,307.74
"Meghalaya",36326,38828,1512205,698,674,6122,12243.8,235.26
"Mizoram",16120,17044,306787,84,86,427,14691.86,76.56
"Nagaland",13206,13915,383920,410,423,2782,6674.75,207.23
"Odisha",577736,594332,20182943,2157,1989,15246,13764.07,51.39
"Punjab",422429,421946,10421537,10456,9990,57838,15226.32,376.88
"Rajasthan",634910,633034,16637039,6157,5919,35662,9262.21,89.82
"Sikkim",14575,15696,218046,175,182,703,23870.86,286.61
"Tamil Nadu",1645335,1726816,40903538,20358,19214,109652,22805.3,282.17
"Telangana",329792,333956,8438699,2068,2005,11775,9421.64,59.08
"Tripura",32869,35134,1214075,291,271,2236,8946.58,79.21
"Uttar Pradesh",1105782,1132551,25351545,13939,13930,69963,5534.1,69.76
"Uttarakhand",244199,253662,4885358,5676,5771,27475,24210.98,562.74
"West Bengal",931107,958952,24747185,7556,7329,43904,10200.99,82.78
"India",19690200,19890297,261364599,245824,236813,850612,14683.22,183.31
